[213]	validation_0-rmse:3.03269	validation_0-mae:2.07853	validation_1-rmse:4.02062	validation_1-mae:2.60293
[214]	validation_0-rmse:3.02826	validation_0-mae:2.07575	validation_1-rmse:4.01892	validation_1-mae:2.60178
[215]	validation_0-rmse:3.02418	validation_0-mae:2.07318	validation_1-rmse:4.01722	validation_1-mae:2.60042
[216]	validation_0-rmse:3.01971	validation_0-mae:2.07022	validation_1-rmse:4.01533	validation_1-mae:2.59893
[217]	validation_0-rmse:3.01488	validation_0-mae:2.06712	validation_1-rmse:4.01332	validation_1-mae:2.59727
[218]	validation_0-rmse:3.01016	validation_0-mae:2.06430	validation_1-rmse:4.01142	validation_1-mae:2.59595
[219]	validation_0-rmse:3.00593	validation_0-mae:2.06145	validation_1-rmse:4.00953	validation_1-mae:2.59445
[220]	validation_0-rmse:3.00095	validation_0-mae:2.05828	validation_1-rmse:4.00710	validation_1-mae:2.59262
[221]	validation_0-rmse:2.99695	validation_0-mae:2.05568	validation_1-rmse:4.00545	validation_1-mae:2.59124
[222]	validation_0-rmse:2.99291	validation_0-mae:2.05306	validation_1-rmse:4.00343	validation_1-mae:2.58982
[223]	validation_0-rmse:2.98864	validation_0-mae:2.05019	validation_1-rmse:4.00171	validation_1-mae:2.58836
[224]	validation_0-rmse:2.98444	validation_0-mae:2.04762	validation_1-rmse:3.99993	validation_1-mae:2.58714
[225]	validation_0-rmse:2.98010	validation_0-mae:2.04485	validation_1-rmse:3.99809	validation_1-mae:2.58572
[226]	validation_0-rmse:2.97547	validation_0-mae:2.04206	validation_1-rmse:3.99641	validation_1-mae:2.58446
[227]	validation_0-rmse:2.97132	validation_0-mae:2.03970	validation_1-rmse:3.99459	validation_1-mae:2.58336
[228]	validation_0-rmse:2.96692	validation_0-mae:2.03708	validation_1-rmse:3.99283	validation_1-mae:2.58220
[229]	validation_0-rmse:2.96273	validation_0-mae:2.03436	validation_1-rmse:3.99120	validation_1-mae:2.58095
[230]	validation_0-rmse:2.95903	validation_0-mae:2.03187	validation_1-rmse:3.98964	validation_1-mae:2.57980
[231]	validation_0-rmse:2.95487	validation_0-mae:2.02918	validation_1-rmse:3.98783	validation_1-mae:2.57842
[232]	validation_0-rmse:2.95001	validation_0-mae:2.02613	validation_1-rmse:3.98542	validation_1-mae:2.57671
[233]	validation_0-rmse:2.94563	validation_0-mae:2.02341	validation_1-rmse:3.98366	validation_1-mae:2.57537
[234]	validation_0-rmse:2.94206	validation_0-mae:2.02090	validation_1-rmse:3.98200	validation_1-mae:2.57416
[235]	validation_0-rmse:2.93780	validation_0-mae:2.01807	validation_1-rmse:3.98008	validation_1-mae:2.57272
[236]	validation_0-rmse:2.93369	validation_0-mae:2.01538	validation_1-rmse:3.97821	validation_1-mae:2.57131
[237]	validation_0-rmse:2.92969	validation_0-mae:2.01279	validation_1-rmse:3.97652	validation_1-mae:2.57006
[238]	validation_0-rmse:2.92453	validation_0-mae:2.00973	validation_1-rmse:3.97396	validation_1-mae:2.56844
[239]	validation_0-rmse:2.92083	validation_0-mae:2.00730	validation_1-rmse:3.97247	validation_1-mae:2.56739
[240]	validation_0-rmse:2.91649	validation_0-mae:2.00462	validation_1-rmse:3.97052	validation_1-mae:2.56604
